    Finished `release` profile [optimized] target(s) in 0.08s
(optimized) bytes, iterations, duration
0,3918315,10
4096,3944042,10
8192,3956038,10
16384,3948000,10
32768,3942514,10
65536,3907809,10
131072,3938033,10
262144,3940757,10
524288,3942550,10
1048576,3932529,10
2097152,3979608,10
4194304,3985995,10
8388608,3979382,10
16777216,3976786,10
33554432,3973837,10
67108864,3960991,10
134217728,3961533,10
268435456,3981890,10
536870912,3970574,10
(naive) bytes, iterations, duration
0,1656290,10
4096,1617955,10
8192,1541282,10
16384,1413888,10
32768,1233099,10
65536,955885,10
131072,606450,10
262144,268667,10
524288,126502,10
1048576,64315,10
2097152,32298,10
4194304,16381,10
8388608,8472,10
16777216,4061,10
33554432,1953,10
67108864,963,10
134217728,409,10
268435456,195,10
536870912,95,10
