parallel,iterations,duration_ns,debug
1,55194,1000000000,false
2,34336,1000000000,false
2,39994,1000000000,false
4,21866,1000000000,false
4,14997,1000000000,false
4,22891,1000000000,false
4,20878,1000000000,false
8,8082,1000000000,false
8,10119,1000000000,false
8,10687,1000000000,false
8,12999,1000000000,false
8,12655,1000000000,false
8,8409,1000000000,false
8,8138,1000000000,false
8,9516,1000000000,false
16,3881,1000000000,false
16,4208,1000000000,false
16,3869,1000000000,false
16,2846,1000000000,false
16,5163,1000000000,false
16,4188,1000000000,false
16,6183,1000000000,false
16,5725,1000000000,false
16,3864,1000000000,false
16,5410,1000000000,false
16,7532,1000000000,false
16,6035,1000000000,false
16,3867,1000000000,false
16,7544,1000000000,false
16,7710,1000000000,false
16,3525,1000000000,false
32,3501,1000000000,false
32,1529,1000000000,false
32,2973,1000000000,false
32,1438,1000000000,false
32,2216,1000000000,false
32,3995,1000000000,false
32,2625,1000000000,false
32,1824,1000000000,false
32,3874,1000000000,false
32,2587,1000000000,false
32,3652,1000000000,false
32,3457,1000000000,false
32,2290,1000000000,false
32,1489,1000000000,false
32,1454,1000000000,false
32,3566,1000000000,false
32,3836,1000000000,false
32,3827,1000000000,false
32,1487,1000000000,false
32,1416,1000000000,false
32,4005,1000000000,false
32,1530,1000000000,false
32,3366,1000000000,false
32,3056,1000000000,false
32,3792,1000000000,false
32,2308,1000000000,false
32,3610,1000000000,false
32,3903,1000000000,false
32,1918,1000000000,false
32,3506,1000000000,false
32,1693,1000000000,false
32,1979,1000000000,false
64,1254,1000000000,false
64,1684,1000000000,false
64,1719,1000000000,false
64,1156,1000000000,false
64,1234,1000000000,false
64,1678,1000000000,false
64,2311,1000000000,false
64,2080,1000000000,false
64,2367,1000000000,false
64,1025,1000000000,false
64,2160,1000000000,false
64,1786,1000000000,false
64,2452,1000000000,false
64,2105,1000000000,false
64,1749,1000000000,false
64,2298,1000000000,false
64,2589,1000000000,false
64,2283,1000000000,false
64,1671,1000000000,false
64,859,1000000000,false
64,1401,1000000000,false
64,1724,1000000000,false
64,1200,1000000000,false
64,1303,1000000000,false
64,1396,1000000000,false
64,771,1000000000,false
64,1382,1000000000,false
64,1543,1000000000,false
64,1748,1000000000,false
64,1646,1000000000,false
64,1847,1000000000,false
64,2342,1000000000,false
64,1153,1000000000,false
64,2403,1000000000,false
64,1905,1000000000,false
64,1899,1000000000,false
64,1107,1000000000,false
64,1141,1000000000,false
64,1792,1000000000,false
64,1283,1000000000,false
64,1096,1000000000,false
64,1994,1000000000,false
64,1816,1000000000,false
64,1189,1000000000,false
64,1101,1000000000,false
64,2159,1000000000,false
64,2468,1000000000,false
64,1706,1000000000,false
64,2354,1000000000,false
64,1493,1000000000,false
64,1267,1000000000,false
64,1004,1000000000,false
64,2350,1000000000,false
64,2205,1000000000,false
64,1948,1000000000,false
64,2460,1000000000,false
64,1488,1000000000,false
64,1028,1000000000,false
64,2586,1000000000,false
64,1169,1000000000,false
64,1016,1000000000,false
64,1262,1000000000,false
64,2373,1000000000,false
64,1389,1000000000,false
128,504,1000000000,false
128,476,1000000000,false
128,481,1000000000,false
128,590,1000000000,false
128,512,1000000000,false
128,523,1000000000,false
128,421,1000000000,false
128,477,1000000000,false
128,490,1000000000,false
128,306,1000000000,false
128,481,1000000000,false
128,463,1000000000,false
128,570,1000000000,false
128,422,1000000000,false
128,584,1000000000,false
128,569,1000000000,false
128,384,1000000000,false
128,1676,1000000000,false
128,582,1000000000,false
128,448,1000000000,false
128,544,1000000000,false
128,442,1000000000,false
128,340,1000000000,false
128,485,1000000000,false
128,420,1000000000,false
128,483,1000000000,false
128,544,1000000000,false
128,542,1000000000,false
128,411,1000000000,false
128,454,1000000000,false
128,435,1000000000,false
128,472,1000000000,false
128,530,1000000000,false
128,532,1000000000,false
128,462,1000000000,false
128,493,1000000000,false
128,445,1000000000,false
128,585,1000000000,false
128,526,1000000000,false
128,512,1000000000,false
128,529,1000000000,false
128,404,1000000000,false
128,499,1000000000,false
128,1591,1000000000,false
128,433,1000000000,false
128,447,1000000000,false
128,390,1000000000,false
128,500,1000000000,false
128,459,1000000000,false
128,504,1000000000,false
128,364,1000000000,false
128,399,1000000000,false
128,419,1000000000,false
128,384,1000000000,false
128,615,1000000000,false
128,556,1000000000,false
128,506,1000000000,false
128,481,1000000000,false
128,372,1000000000,false
128,525,1000000000,false
128,534,1000000000,false
128,401,1000000000,false
128,365,1000000000,false
128,390,1000000000,false
128,458,1000000000,false
128,420,1000000000,false
128,472,1000000000,false
128,489,1000000000,false
128,493,1000000000,false
128,518,1000000000,false
128,388,1000000000,false
128,565,1000000000,false
128,527,1000000000,false
128,538,1000000000,false
128,575,1000000000,false
128,397,1000000000,false
128,452,1000000000,false
128,506,1000000000,false
128,545,1000000000,false
128,381,1000000000,false
128,487,1000000000,false
128,417,1000000000,false
128,448,1000000000,false
128,420,1000000000,false
128,533,1000000000,false
128,427,1000000000,false
128,453,1000000000,false
128,437,1000000000,false
128,574,1000000000,false
128,383,1000000000,false
128,434,1000000000,false
128,555,1000000000,false
128,479,1000000000,false
128,558,1000000000,false
128,523,1000000000,false
128,437,1000000000,false
128,526,1000000000,false
128,382,1000000000,false
128,580,1000000000,false
128,546,1000000000,false
128,473,1000000000,false
128,540,1000000000,false
128,525,1000000000,false
128,571,1000000000,false
128,552,1000000000,false
128,417,1000000000,false
128,607,1000000000,false
128,582,1000000000,false
128,542,1000000000,false
128,638,1000000000,false
128,439,1000000000,false
128,497,1000000000,false
128,532,1000000000,false
128,460,1000000000,false
128,526,1000000000,false
128,472,1000000000,false
128,455,1000000000,false
128,509,1000000000,false
128,507,1000000000,false
128,490,1000000000,false
128,562,1000000000,false
128,422,1000000000,false
128,418,1000000000,false
128,370,1000000000,false
128,546,1000000000,false
128,541,1000000000,false
128,353,1000000000,false
128,553,1000000000,false
256,139,1000000000,false
256,110,1000000000,false
256,141,1000000000,false
256,115,1000000000,false
256,114,1000000000,false
256,148,1000000000,false
256,97,1000000000,false
256,113,1000000000,false
256,123,1000000000,false
256,141,1000000000,false
256,191,1000000000,false
256,137,1000000000,false
256,114,1000000000,false
256,149,1000000000,false
256,123,1000000000,false
256,114,1000000000,false
256,125,1000000000,false
256,120,1000000000,false
256,119,1000000000,false
256,140,1000000000,false
256,127,1000000000,false
256,106,1000000000,false
256,116,1000000000,false
256,129,1000000000,false
256,100,1000000000,false
256,207,1000000000,false
256,144,1000000000,false
256,147,1000000000,false
256,140,1000000000,false
256,127,1000000000,false
256,153,1000000000,false
256,97,1000000000,false
256,137,1000000000,false
256,127,1000000000,false
256,145,1000000000,false
256,115,1000000000,false
256,110,1000000000,false
256,138,1000000000,false
256,122,1000000000,false
256,93,1000000000,false
256,115,1000000000,false
256,144,1000000000,false
256,135,1000000000,false
256,129,1000000000,false
256,129,1000000000,false
256,125,1000000000,false
256,99,1000000000,false
256,128,1000000000,false
256,138,1000000000,false
256,141,1000000000,false
256,139,1000000000,false
256,142,1000000000,false
256,110,1000000000,false
256,140,1000000000,false
256,97,1000000000,false
256,106,1000000000,false
256,103,1000000000,false
256,118,1000000000,false
256,116,1000000000,false
256,134,1000000000,false
256,151,1000000000,false
256,135,1000000000,false
256,123,1000000000,false
256,132,1000000000,false
256,104,1000000000,false
256,123,1000000000,false
256,143,1000000000,false
256,147,1000000000,false
256,161,1000000000,false
256,113,1000000000,false
256,121,1000000000,false
256,131,1000000000,false
