parallel,iterations,duration_ns,debug
1,13572525,10000000000,false
2,13643563,10000000000,false
2,13265325,10000000000,false
4,13667223,10000000000,false
4,13288306,10000000000,false
4,13217289,10000000000,false
4,13198930,10000000000,false
8,13660351,10000000000,false
8,13288957,10000000000,false
8,13128777,10000000000,false
8,13178329,10000000000,false
8,13340015,10000000000,false
8,13179805,10000000000,false
8,13388831,10000000000,false
8,13706358,10000000000,false
16,13071473,10000000000,false
16,13080205,10000000000,false
16,13296943,10000000000,false
16,13132384,10000000000,false
16,13536590,10000000000,false
16,13552987,10000000000,false
16,13210469,10000000000,false
16,13100983,10000000000,false
16,12939859,10000000000,false
16,13311096,10000000000,false
16,13063494,10000000000,false
16,13192832,10000000000,false
16,13457784,10000000000,false
16,13083146,10000000000,false
16,13325847,10000000000,false
16,13657868,10000000000,false
32,13282480,10000000000,false
32,12940099,10000000000,false
32,12862533,10000000000,false
32,12624554,10000000000,false
32,12497671,10000000000,false
32,12461887,10000000000,false
32,12714783,10000000000,false
32,12373830,10000000000,false
32,12714058,10000000000,false
32,12457259,10000000000,false
32,12581821,10000000000,false
32,12913042,10000000000,false
32,12965494,10000000000,false
32,12633051,10000000000,false
32,12813310,10000000000,false
32,13257188,10000000000,false
32,12930528,10000000000,false
32,12789154,10000000000,false
32,12564169,10000000000,false
32,12478204,10000000000,false
32,12883688,10000000000,false
32,12925957,10000000000,false
32,12571188,10000000000,false
32,12683841,10000000000,false
32,12838261,10000000000,false
32,12486977,10000000000,false
32,12701770,10000000000,false
32,12498872,10000000000,false
32,12754120,10000000000,false
32,12351144,10000000000,false
32,12937869,10000000000,false
32,12758972,10000000000,false
64,9137906,10000000000,false
64,9426959,10000000000,false
64,10246316,10000000000,false
64,13357805,10000000000,false
64,9317741,10000000000,false
64,10448231,10000000000,false
64,10067120,10000000000,false
64,8944466,10000000000,false
64,9241126,10000000000,false
64,10776373,10000000000,false
64,9552659,10000000000,false
64,9692375,10000000000,false
64,10145815,10000000000,false
64,9307053,10000000000,false
64,9973058,10000000000,false
64,10475867,10000000000,false
64,9611413,10000000000,false
64,9521673,10000000000,false
64,9076969,10000000000,false
64,9892864,10000000000,false
64,9327732,10000000000,false
64,10180492,10000000000,false
64,10013117,10000000000,false
64,9401295,10000000000,false
64,9560520,10000000000,false
64,9070909,10000000000,false
64,10360946,10000000000,false
64,10216936,10000000000,false
64,9145917,10000000000,false
64,9474302,10000000000,false
64,10097100,10000000000,false
64,10191814,10000000000,false
64,9310186,10000000000,false
64,9678200,10000000000,false
64,9482875,10000000000,false
64,9196011,10000000000,false
64,10290949,10000000000,false
64,9961028,10000000000,false
64,9397844,10000000000,false
64,9449502,10000000000,false
64,10142794,10000000000,false
64,10112477,10000000000,false
64,9913753,10000000000,false
64,9315120,10000000000,false
64,9230034,10000000000,false
64,11473858,10000000000,false
64,9022837,10000000000,false
64,12833884,10000000000,false
64,13065756,10000000000,false
64,9887835,10000000000,false
64,9357961,10000000000,false
64,12092387,10000000000,false
64,10129034,10000000000,false
64,9942531,10000000000,false
64,9494122,10000000000,false
64,8995783,10000000000,false
64,9917708,10000000000,false
64,9725015,10000000000,false
64,9143275,10000000000,false
64,9979110,10000000000,false
64,9200674,10000000000,false
64,11675009,10000000000,false
64,9413542,10000000000,false
64,9817112,10000000000,false
128,4764968,10000000000,false
128,4687744,10000000000,false
128,4738995,10000000000,false
128,4667706,10000000000,false
128,4676950,10000000000,false
128,4739279,10000000000,false
128,4681354,10000000000,false
128,4820650,10000000000,false
128,4961664,10000000000,false
128,4676608,10000000000,false
128,6463120,10000000000,false
128,4691980,10000000000,false
128,5926551,10000000000,false
128,4688536,10000000000,false
128,4713921,10000000000,false
128,6762748,10000000000,false
128,4704034,10000000000,false
128,7013937,10000000000,false
128,4704161,10000000000,false
128,4687301,10000000000,false
128,4697019,10000000000,false
128,4688993,10000000000,false
128,4706380,10000000000,false
128,4712030,10000000000,false
128,4694952,10000000000,false
128,4738272,10000000000,false
128,4690216,10000000000,false
128,4984289,10000000000,false
128,4865763,10000000000,false
128,4705797,10000000000,false
128,4741665,10000000000,false
128,4731744,10000000000,false
128,4710606,10000000000,false
128,6082451,10000000000,false
128,4733949,10000000000,false
128,4726339,10000000000,false
128,4714344,10000000000,false
128,4749995,10000000000,false
128,4832810,10000000000,false
128,4682710,10000000000,false
128,4686301,10000000000,false
128,4695298,10000000000,false
128,4658996,10000000000,false
128,4716175,10000000000,false
128,4689843,10000000000,false
128,4697641,10000000000,false
128,4709686,10000000000,false
128,4723772,10000000000,false
128,4712313,10000000000,false
128,4682786,10000000000,false
128,4812258,10000000000,false
128,4716738,10000000000,false
128,4690047,10000000000,false
128,4696805,10000000000,false
128,4696439,10000000000,false
128,4712202,10000000000,false
128,4701507,10000000000,false
128,4750952,10000000000,false
128,9683180,10000000000,false
128,4710583,10000000000,false
128,4693678,10000000000,false
128,4675182,10000000000,false
128,4718878,10000000000,false
128,5736317,10000000000,false
128,4756708,10000000000,false
128,4709607,10000000000,false
128,4702924,10000000000,false
128,4715794,10000000000,false
128,4698538,10000000000,false
128,4679412,10000000000,false
128,4694581,10000000000,false
128,4807599,10000000000,false
128,4746265,10000000000,false
128,4698569,10000000000,false
128,7076805,10000000000,false
128,4706471,10000000000,false
128,4663007,10000000000,false
128,4709508,10000000000,false
128,4694748,10000000000,false
128,4743207,10000000000,false
128,4677795,10000000000,false
128,4701876,10000000000,false
128,4712995,10000000000,false
