    Finished `release` profile [optimized] target(s) in 0.08s
     Running `target/release/vmm`
(optimized) bytes, iterations, duration
0,4154184,10
4096,4118091,10
8192,4139957,10
16384,4140285,10
32768,4139391,10
65536,4142102,10
131072,4144171,10
262144,4144856,10
524288,4158013,10
1048576,4124691,10
2097152,4168810,10
4194304,4179330,10
8388608,4163664,10
16777216,4178956,10
33554432,4176757,10
67108864,4190630,10
134217728,4193555,10
268435456,4163314,10
536870912,4163653,10
(naive) bytes, iterations, duration
0,1697383,10
4096,1662248,10
8192,1608876,10
16384,1467204,10
32768,1267145,10
65536,1007427,10
131072,654784,10
262144,269356,10
524288,127623,10
1048576,65951,10
2097152,31600,10
4194304,15968,10
8388608,8085,10
16777216,3916,10
33554432,1888,10
67108864,930,10
134217728,391,10
268435456,188,10
536870912,92,10
[2025-04-14T01:43:12Z INFO  vmm] shutting down
