parallel,iterations,duration_ns,debug
1,298,1000000000,false
2,293,1000000000,false
2,290,1000000000,false
4,291,1000000000,false
4,291,1000000000,false
4,291,1000000000,false
4,293,1000000000,false
8,291,1000000000,false
8,291,1000000000,false
8,291,1000000000,false
8,291,1000000000,false
8,291,1000000000,false
8,293,1000000000,false
8,291,1000000000,false
8,291,1000000000,false
16,289,1000000000,false
16,290,1000000000,false
16,291,1000000000,false
16,291,1000000000,false
16,290,1000000000,false
16,291,1000000000,false
16,291,1000000000,false
16,291,1000000000,false
16,291,1000000000,false
16,291,1000000000,false
16,289,1000000000,false
16,291,1000000000,false
16,290,1000000000,false
16,291,1000000000,false
16,290,1000000000,false
16,291,1000000000,false
32,269,1000000000,false
32,269,1000000000,false
32,267,1000000000,false
32,271,1000000000,false
32,270,1000000000,false
32,269,1000000000,false
32,270,1000000000,false
32,269,1000000000,false
32,271,1000000000,false
32,268,1000000000,false
32,270,1000000000,false
32,269,1000000000,false
32,270,1000000000,false
32,267,1000000000,false
32,270,1000000000,false
32,269,1000000000,false
32,269,1000000000,false
32,266,1000000000,false
32,267,1000000000,false
32,267,1000000000,false
32,269,1000000000,false
32,270,1000000000,false
32,269,1000000000,false
32,264,1000000000,false
32,267,1000000000,false
32,268,1000000000,false
32,266,1000000000,false
32,269,1000000000,false
32,269,1000000000,false
32,268,1000000000,false
32,268,1000000000,false
32,267,1000000000,false
64,189,1000000000,false
64,186,1000000000,false
64,201,1000000000,false
64,200,1000000000,false
64,186,1000000000,false
64,197,1000000000,false
64,198,1000000000,false
64,203,1000000000,false
64,203,1000000000,false
64,199,1000000000,false
64,178,1000000000,false
64,203,1000000000,false
64,200,1000000000,false
64,194,1000000000,false
64,199,1000000000,false
64,202,1000000000,false
64,199,1000000000,false
64,198,1000000000,false
64,192,1000000000,false
64,186,1000000000,false
64,198,1000000000,false
64,189,1000000000,false
64,207,1000000000,false
64,181,1000000000,false
64,190,1000000000,false
64,202,1000000000,false
