parallel,iterations,duration_ns,debug
1,22916,10000000000,false
2,22864,10000000000,false
2,23017,10000000000,false
4,23254,10000000000,false
4,23249,10000000000,false
4,23390,10000000000,false
4,22954,10000000000,false
8,22983,10000000000,false
8,23261,10000000000,false
8,23106,10000000000,false
8,23252,10000000000,false
8,23274,10000000000,false
8,22779,10000000000,false
8,23137,10000000000,false
8,23209,10000000000,false
16,22966,10000000000,false
16,22984,10000000000,false
16,22943,10000000000,false
16,23171,10000000000,false
16,23246,10000000000,false
16,23204,10000000000,false
16,23186,10000000000,false
16,21789,10000000000,false
16,22948,10000000000,false
16,22873,10000000000,false
16,22903,10000000000,false
16,23109,10000000000,false
16,22932,10000000000,false
16,23104,10000000000,false
16,23096,10000000000,false
16,23040,10000000000,false
32,22480,10000000000,false
32,22700,10000000000,false
32,22584,10000000000,false
32,22498,10000000000,false
32,22632,10000000000,false
32,22388,10000000000,false
32,22533,10000000000,false
32,21982,10000000000,false
32,22399,10000000000,false
32,22367,10000000000,false
32,22414,10000000000,false
32,21938,10000000000,false
32,22261,10000000000,false
32,22197,10000000000,false
32,22425,10000000000,false
32,22267,10000000000,false
32,22299,10000000000,false
32,22407,10000000000,false
32,22259,10000000000,false
32,22391,10000000000,false
32,22410,10000000000,false
32,22254,10000000000,false
32,22372,10000000000,false
32,22369,10000000000,false
32,22310,10000000000,false
32,22393,10000000000,false
32,22362,10000000000,false
32,22376,10000000000,false
32,22349,10000000000,false
32,22265,10000000000,false
32,22473,10000000000,false
32,22417,10000000000,false
64,20884,10000000000,false
64,20988,10000000000,false
64,21009,10000000000,false
64,21013,10000000000,false
64,20985,10000000000,false
64,20916,10000000000,false
64,20957,10000000000,false
64,20873,10000000000,false
64,20562,10000000000,false
64,20492,10000000000,false
64,21030,10000000000,false
64,20172,10000000000,false
64,21107,10000000000,false
64,20864,10000000000,false
64,21059,10000000000,false
64,21128,10000000000,false
64,20591,10000000000,false
64,21079,10000000000,false
64,21148,10000000000,false
64,20927,10000000000,false
64,21209,10000000000,false
64,21056,10000000000,false
64,20941,10000000000,false
64,21194,10000000000,false
64,21039,10000000000,false
64,21264,10000000000,false
64,21080,10000000000,false
64,21110,10000000000,false
64,20415,10000000000,false
64,20834,10000000000,false
64,20803,10000000000,false
64,20766,10000000000,false
64,20893,10000000000,false
64,21189,10000000000,false
64,20941,10000000000,false
64,20762,10000000000,false
64,20389,10000000000,false
64,20867,10000000000,false
64,20853,10000000000,false
64,21205,10000000000,false
64,21288,10000000000,false
64,20865,10000000000,false
64,20393,10000000000,false
64,20511,10000000000,false
64,20629,10000000000,false
64,20827,10000000000,false
64,20676,10000000000,false
64,20956,10000000000,false
64,20782,10000000000,false
64,20726,10000000000,false
64,20695,10000000000,false
64,20852,10000000000,false
64,20823,10000000000,false
64,20875,10000000000,false
64,20788,10000000000,false
64,20843,10000000000,false
64,20676,10000000000,false
64,20774,10000000000,false
64,20727,10000000000,false
64,19803,10000000000,false
64,20794,10000000000,false
64,21045,10000000000,false
64,20811,10000000000,false
64,20833,10000000000,false
128,16593,10000000000,false
128,14902,10000000000,false
128,15982,10000000000,false
128,15840,10000000000,false
128,15687,10000000000,false
128,16728,10000000000,false
128,15818,10000000000,false
128,15278,10000000000,false
128,15451,10000000000,false
128,15983,10000000000,false
128,15913,10000000000,false
128,15773,10000000000,false
128,15911,10000000000,false
128,15901,10000000000,false
128,14843,10000000000,false
128,15773,10000000000,false
128,15402,10000000000,false
128,15331,10000000000,false
128,14970,10000000000,false
128,15879,10000000000,false
128,15888,10000000000,false
128,16179,10000000000,false
128,15985,10000000000,false
128,16180,10000000000,false
128,15273,10000000000,false
128,14899,10000000000,false
128,15871,10000000000,false
128,15790,10000000000,false
128,16812,10000000000,false
128,16133,10000000000,false
128,15751,10000000000,false
128,15834,10000000000,false
128,14954,10000000000,false
128,15812,10000000000,false
128,16125,10000000000,false
128,14843,10000000000,false
128,15273,10000000000,false
128,16547,10000000000,false
128,15477,10000000000,false
128,14950,10000000000,false
128,15445,10000000000,false
128,15676,10000000000,false
128,16341,10000000000,false
128,15292,10000000000,false
128,16030,10000000000,false
128,15960,10000000000,false
128,14908,10000000000,false
128,14938,10000000000,false
128,16023,10000000000,false
128,15783,10000000000,false
128,14277,10000000000,false
128,16099,10000000000,false
128,15830,10000000000,false
128,16001,10000000000,false
128,15828,10000000000,false
128,16035,10000000000,false
128,16411,10000000000,false
128,15851,10000000000,false
128,16145,10000000000,false
128,16067,10000000000,false
128,15934,10000000000,false
128,16170,10000000000,false
128,16060,10000000000,false
128,16403,10000000000,false
128,16223,10000000000,false
128,15965,10000000000,false
128,15797,10000000000,false
128,15169,10000000000,false
128,15898,10000000000,false
128,14691,10000000000,false
128,16350,10000000000,false
128,14662,10000000000,false
128,15766,10000000000,false
128,15248,10000000000,false
128,15445,10000000000,false
128,15576,10000000000,false
128,14683,10000000000,false
128,15359,10000000000,false
128,15313,10000000000,false
128,15261,10000000000,false
128,15365,10000000000,false
128,14957,10000000000,false
128,16289,10000000000,false
128,15132,10000000000,false
128,16232,10000000000,false
128,15337,10000000000,false
128,15369,10000000000,false
128,16272,10000000000,false
128,15196,10000000000,false
128,15942,10000000000,false
128,15527,10000000000,false
128,16364,10000000000,false
128,15741,10000000000,false
128,15873,10000000000,false
128,13620,10000000000,false
128,15939,10000000000,false
128,15148,10000000000,false
128,15689,10000000000,false
128,15189,10000000000,false
128,15295,10000000000,false
128,15161,10000000000,false
128,15625,10000000000,false
128,16237,10000000000,false
128,15396,10000000000,false
128,15641,10000000000,false
128,15062,10000000000,false
128,15202,10000000000,false
128,15373,10000000000,false
128,16458,10000000000,false
128,15212,10000000000,false
128,16164,10000000000,false
128,15733,10000000000,false
